CAR | Key: 5, Time: 0.000006, Comparisons: 2
CAR | Key: 9, Time: 0.000003, Comparisons: 9
CAR | Key: 983, Time: 0.000127, Comparisons: 983
CAR | Key: 983, Time: 0.000219, Comparisons: 983
CAR | Key: 983, Time: 0.001068, Comparisons: 7270
CAR | Key: 2, Time: 0.000049, Comparisons: 1
CAR | Key: 2, Time: 0.000042, Comparisons: 5
CAR | Key: 3, Time: 0.000046, Comparisons: 9
CAR | Key: 13, Time: 0.000066, Comparisons: 20
CAR | Key: 5, Time: 0.000019, Comparisons: 6
CAR | Key: 14, Time: 0.000052, Comparisons: 21
CAR | Key: 983, Time: 0.001285, Comparisons: 9628
CAR | Key: 983, Time: 0.000919, Comparisons: 6477
CAR | Key: 983, Time: 0.000160, Comparisons: 983
CAR | Key: 983, Time: 0.000018, Comparisons: 100
CAR | Key: 983, Time: 0.000020, Comparisons: 100
CAR | Key: 983, Time: 0.000030, Comparisons: 100
CAR | Key: 983, Time: 0.000021, Comparisons: 100
CAR | Key: 983, Time: 0.000156, Comparisons: 983
CAR | Key: 983, Time: 0.000143, Comparisons: 983
CAR | Key: 983, Time: 0.000183, Comparisons: 983
CAR | Key: 983, Time: 0.000188, Comparisons: 983
